Generated,Actual
Java Developer / Full Stack Developer,Java Developer
Java Developer,Java Developer
Java Developer,Java Developer
Big Data Engineer,Hadoop
Personal Fitness Trainer,Health and fitness
Network Security Engineer,Network Security Engineer
Mechanical Engineering Consultant,Mechanical Engineer
Software Test Engineer,Automation Testing
Legal Associate,Advocate
Fitness Centre Manager,Health and fitness
Hadoop Developer,Hadoop
Human Resources Assistant,HR
Mechanical Design Engineer,Mechanical Engineer
Electrical Testing Engineer,Testing
Python Developer,Python Developer
Civil Engineer,Civil Engineer
Data Scientist / Machine Learning Engineer,Data Science
Business Analyst,Business Analyst
ETL Developer,ETL Developer
.NET Developer,DotNet Developer
Project Management Office (PMO) Lead,PMO
Fitness Trainer or Martial Arts Instructor,Arts
ETL Developer,ETL Developer
Quality Control Engineer,Testing
Electrical Testing Engineer,Testing
Business Intelligence and Analytics Consultant,Data Science
Sales Manager,Sales
Sales Manager,Sales
Software Test Engineer/Quality Assurance Analyst,Automation Testing
Special Education Teacher or School Counselor,HR
Operations Manager,Operations Manager
Interior Design Coordinator,Arts
DevOps Engineer,DevOps Engineer
Front-end Developer,Web Designing
Electrical Engineer with a focus on Solar Energy Installations and Maintenance,Electrical Engineering
Electrical Engineer with a focus on PCB Design and Quality Assurance.,Testing
Database Administrator,Database
Special Education Teacher or School Counselor,HR
Web Designer and Developer,Web Designing
DevOps Engineer,DevOps Engineer
Operations Manager,Operations Manager
Data Science Manager or Lead Data Scientist,Data Science
DevOps Engineer,DevOps Engineer
Corporate Communications Manager,PMO
Web Designer and Developer,Web Designing
Quality Assurance Specialist / Software Tester,Testing
SAP Consultant,SAP Developer
Cultural Program Manager,Arts
Java Developer,Java Developer
Business Analyst / Senior RPA Business Analyst,Business Analyst
Junior Java Developer,Java Developer
Sales and Marketing Manager,Sales
Electrical Design Engineer/Project Engineer,Electrical Engineering
Civil Engineer,Civil Engineer
Java Developer,Java Developer
Big Data Engineer,Hadoop
Assistant Professor in Political Science,Arts
Senior Project Manager / PMO Lead,PMO
Civil Engineer,Civil Engineer
Human Resources Coordinator,HR
Sales Manager,Sales
Sales Manager in a Car Dealership,Sales
Python Developer,Python Developer
Web Designer/Developer,Web Designing
SAP HANA Developer,SAP Developer
Supply Chain and Logistics Manager,Operations Manager
HR Generalist or HR Coordinator,HR
ETL Developer,ETL Developer
ETL Developer,ETL Developer
Python Developer,Python Developer
ETL Developer,ETL Developer
DevOps Engineer,DevOps Engineer
.NET Developer,DotNet Developer
SAP Technical Architect,SAP Developer
"Based on the detailed resume content provided, it appears that your best fitted role would be:

Senior Network Engineer/System Administrator",Network Security Engineer
ETL Developer/Data Warehouse Specialist,SAP Developer
Legal Advocate,Advocate
Network Security Engineer,Network Security Engineer
Mechanical Design Engineer,Mechanical Engineer
Personal Fitness Trainer,Health and fitness
Software Developer with a specialization in Java/J2EE Development,Java Developer
Electrical Maintenance Engineer,Electrical Engineering
Electrical Engineer with specialization in Solar Power Installations,Electrical Engineering
Cloud Operations Architect,DevOps Engineer
Full Stack Developer,Python Developer
Blockchain Developer,Blockchain
Project Manager,PMO
DevOps Engineer,DevOps Engineer
Legal Associate / Junior Advocate,Advocate
QA Automation Lead,Automation Testing
.NET Developer,DotNet Developer
ETL Developer,ETL Developer
Software Test Engineer,Automation Testing
Electronics Engineer,Testing
Backend Developer,Python Developer
Python Developer / Web Developer,Python Developer
Quality Assurance Engineer,Testing
Software Developer,HR
Operations Manager,Operations Manager
Human Resources Specialist,HR
Cloud Database Administrator,Database
Mechanical Design Engineer,Mechanical Engineer
DevOps Engineer,DevOps Engineer
Nutritionist/Health Coach,Health and fitness
Operations Manager,Operations Manager
Blockchain Developer,Blockchain
Nutrition and Fitness Coach/Dietician,Health and fitness
Project Management Office (PMO) Specialist,PMO
Nutrition and Fitness Specialist,Health and fitness
Fitness Center Manager,Health and fitness
Java Developer,Java Developer
Operations Manager - Payment Industry Prepaid Cards,Operations Manager
Cloud Operations Architect / Senior DevOps Engineer,DevOps Engineer
QA Automation Engineer,Automation Testing
SAP Business Objects Developer/Business Intelligence Consultant,SAP Developer
Operations Manager - Payment Industry Prepaid Cards,Operations Manager
Electrical Engineer,Testing
ETL Developer/Data Engineer,ETL Developer
Electrical Engineer,Testing
Civil Site Engineer,Civil Engineer
Health and Safety Officer/Manager,Electrical Engineering
Java Developer,Java Developer
HR Administrator,HR
Blockchain Developer,Blockchain
Civil Site Engineer,Civil Engineer
Blockchain Developer,Blockchain
Senior Database Administrator,Database
Human Resources Specialist,HR
Project Management Office (PMO) Lead/Manager,PMO
Cloud Operations Architect / DevOps Engineer,DevOps Engineer
Python Developer / Data Analyst,Python Developer
Project/Program Manager,DevOps Engineer
Blockchain Developer,Blockchain
Junior Java Developer,Java Developer
Software Developer,DotNet Developer
Project Manager,PMO
Event Coordinator / Marketing Specialist,Arts
Quality Assurance Engineer,Testing
SAP Technical Architect,SAP Developer
QA/QC Civil Engineer,Civil Engineer
"Based on the information provided, your best fitted role would be:

**Senior Python API Developer**",Python Developer
Java Developer,Java Developer
Mechanical Engineer,Mechanical Engineer
Senior SQL Server Database Administrator,Database
Database Administrator,Database
Cloud Operations Architect,DevOps Engineer
Java Developer,Java Developer
Operations Manager - Payment Industry / Customer Service Manager,Operations Manager
Interior Designer / Art & Craft Teacher,Arts
Java Developer,Java Developer
Hadoop Developer,Hadoop
Software Developer,Python Developer
Database Administrator,Database
Senior Business Analyst / RPA Business Analyst,Business Analyst
Operations Manager,Operations Manager
Electrical Design Engineer,Electrical Engineering
Civil Site Engineer,Civil Engineer
Java Developer,Java Developer
Civil Engineer,Civil Engineer
